iter	Passed	Remaining
0	0	97
1	1	87
2	2	85
3	3	79
4	4	78
5	4	76
6	5	74
7	6	73
8	7	72
9	7	70
10	8	69
11	9	68
12	10	67
13	10	67
14	11	66
15	12	65
16	13	64
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	23	53
30	23	52
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	34	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
